,City,Country,Date,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,busselton,AU,1635620025,-33.65,115.3333,44.04,90,75,6.29
1,svetlyy,RU,1635620026,54.675,20.1347,50.05,61,4,13.24
3,cervo,ES,1635620026,43.6702,-7.4101,63.19,79,9,6.93
4,ushuaia,AR,1635619890,-54.8,-68.3,49.66,53,0,18.41
5,rikitea,PF,1635619941,-23.1203,-134.9692,74.97,85,100,20.74
6,cidreira,BR,1635620027,-30.1811,-50.2056,70.27,81,45,22.79
8,atuona,PF,1635620027,-9.8,-139.0333,77.76,67,6,19.1
9,hamilton,US,1635619830,39.1834,-84.5333,58.59,95,100,1.99
10,san patricio,US,1635620028,28.017,-97.5169,84.02,17,0,3.06
11,bria,CF,1635620028,6.5423,21.9863,72,83,100,1.21
12,mar del plata,AR,1635619751,-38.0023,-57.5575,64.87,82,97,21
13,clyde river,CA,1635620028,70.4692,-68.5914,30.22,98,100,14.54
14,geraldton,AU,1635620029,-28.7667,114.6,54.01,82,0,8.05
15,airai,TL,1635620029,-8.9266,125.4092,62.01,91,36,1.16
16,necochea,AR,1635620029,-38.5473,-58.7368,61.03,74,100,22.5
17,isangel,VU,1635620030,-19.55,169.2667,75.36,81,0,4.63
18,the pas,CA,1635620030,53.8251,-101.2541,37.67,61,100,13
19,albany,US,1635620028,42.6001,-73.9662,58.32,93,100,5.01
20,cabras,IT,1635620030,39.93,8.5314,60.08,84,100,7.23
21,nanortalik,GL,1635620031,60.1432,-45.2371,34.21,74,17,3.83
22,longyearbyen,SJ,1635620031,78.2186,15.6401,17.19,83,97,3.74
23,tasiilaq,GL,1635620031,65.6145,-37.6368,16.41,63,91,6.33
24,margate,GB,1635620032,51.3813,1.3862,53.31,80,100,1.01
25,cape town,ZA,1635619881,-33.9258,18.4232,63.1,80,0,3
26,buala,SB,1635620032,-8.145,159.5921,79.65,83,95,8.23
27,xam nua,LA,1635620032,20.4197,104.0439,63.66,99,100,1.77
28,punta arenas,CL,1635620023,-53.15,-70.9167,53.11,40,100,6.71
29,maumere,ID,1635620033,-8.6199,122.2111,79.75,81,99,1.12
30,lagunas,PE,1635620033,-5.2269,-75.6753,93.72,44,73,2.73
31,guerrero negro,MX,1635619937,27.9769,-114.0611,75.36,51,0,9.33
34,karwar,IN,1635620034,14.8,74.1333,78.75,85,99,3.65
35,mount gambier,AU,1635619815,-37.8333,140.7667,40.91,100,40,1.14
36,brae,GB,1635620034,60.3964,-1.353,48.11,90,100,14.65
37,calama,CL,1635620034,-22.4667,-68.9333,77.36,7,0,18.28
38,new norfolk,AU,1635620035,-42.7826,147.0587,51.93,59,80,5.01
39,qaanaaq,GL,1635620035,77.484,-69.3632,2.28,52,0,8.21
41,shingu,JP,1635620035,33.7333,135.9833,59.25,84,48,6.49
42,saint-augustin,CA,1635620036,51.226,-58.6502,51.66,42,7,6.58
43,saldanha,ZA,1635620036,-33.0117,17.9442,61.97,86,96,14.99
44,norman wells,CA,1635620036,65.282,-126.8329,15.84,92,75,4.61
45,ostrovnoy,RU,1635620037,68.0531,39.5131,33.75,87,100,11.86
46,piacabucu,BR,1635620037,-10.4056,-36.4344,80.42,68,11,10.6
47,kodiak,US,1635620037,57.79,-152.4072,45.91,93,90,29.93
48,hobart,AU,1635619934,-42.8794,147.3294,52.27,67,75,4
49,xingcheng,CN,1635620038,40.6167,120.7167,48.92,80,96,16.6
50,malpe,IN,1635620038,13.35,74.7167,79.9,91,100,3.53
51,kahului,US,1635620038,20.8947,-156.47,78.84,75,1,3.15
52,half moon bay,US,1635620039,37.4636,-122.4286,68.7,86,90,1.99
53,vaini,TO,1635620039,-21.2,-175.2,75.34,74,5,14.23
54,buraydah,SA,1635620039,26.326,43.975,76.5,26,1,12.75
55,aklavik,CA,1635620040,68.2191,-135.0107,17.6,86,75,5.75
57,kushmurun,KZ,1635620040,52.4503,64.6311,42.03,71,100,22.35
58,bubaque,GW,1635620040,11.2833,-15.8333,78.69,79,100,6.02
59,anadyr,RU,1635620041,64.75,177.4833,5,92,100,17
60,leningradskiy,RU,1635620041,69.3833,178.4167,-2.29,96,98,5.99
61,arraial do cabo,BR,1635620042,-22.9661,-42.0278,73.36,83,75,11.5
62,verkhnyaya balkariya,RU,1635620042,43.1279,43.4573,37.89,87,36,6.55
63,san vicente,AR,1635619940,-26.6167,-54.1333,74.08,72,100,5.61
64,katsuura,JP,1635620043,35.1333,140.3,57.31,62,100,2.57
65,mataura,NZ,1635620043,-46.1927,168.8643,51.33,63,100,4.54
66,ugoofaaru,MV,1635620043,5.6667,73,81.34,75,15,8.68
68,hualmay,PE,1635620044,-11.0964,-77.6139,68.56,70,86,8.39
69,port blair,IN,1635620044,11.6667,92.75,80.55,80,97,1.79
70,thompson,CA,1635620044,55.7435,-97.8558,37.56,75,75,9.22
71,port alfred,ZA,1635620045,-33.5906,26.891,63.48,91,57,7.83
72,luderitz,NA,1635620045,-26.6481,15.1594,60.1,90,7,5.57
73,mareeba,AU,1635620045,-17,145.4333,68.72,95,54,2.06
74,letka,RU,1635620046,59.6011,49.4232,39.16,100,100,4.88
75,olafsvik,IS,1635620046,64.8945,-23.7142,43.16,87,72,17.02
76,cherskiy,RU,1635620046,68.75,161.3,-1.23,98,100,5.44
77,tarrafal,CV,1635620046,15.2833,-23.7667,79.03,78,100,17.74
78,muisne,EC,1635619797,0.6,-80.0333,82.51,72,26,10.11
79,menongue,AO,1635619780,-14.6585,17.691,72.39,61,94,3.47
81,kununurra,AU,1635620047,-15.7667,128.7333,80.58,74,84,3.44
82,qasigiannguit,GL,1635620047,68.8193,-51.1922,28.18,84,100,6.69
83,toora-khem,RU,1635620048,52.4675,96.11,28.87,78,100,3.36
84,urumqi,CN,1635620048,43.801,87.6005,43.75,61,0,6.71
85,khetia,IN,1635620048,21.6667,74.5833,71.11,45,100,4.25
86,lavrentiya,RU,1635620049,65.5833,-171,10.78,78,62,6.33
87,bluff,NZ,1635620049,-46.6,168.3333,54.09,65,80,18.5
88,kruisfontein,ZA,1635619933,-34.0033,24.7314,58.89,93,0,2.35
89,kavieng,PG,1635620050,-2.5744,150.7967,82.47,77,34,11.36
91,puerto ayora,EC,1635620050,-0.7393,-90.3518,72.55,80,83,9.31
92,lesnyye polyany,RU,1635620050,55.9667,37.8667,46.62,87,45,9.13
93,kapaa,US,1635620051,22.0752,-159.319,76.19,98,2,2.82
94,meulaboh,ID,1635620051,4.1363,96.1285,75.6,90,100,4.14
95,birjand,IR,1635619958,32.8663,59.2211,57.58,29,0,2.93
96,gizo,SB,1635620051,-8.103,156.8419,82.29,76,94,7.02
97,iqaluit,CA,1635620052,63.7506,-68.5145,37.13,64,90,13
98,upernavik,GL,1635620052,72.7868,-56.1549,26.24,57,100,8.37
99,maltahohe,NA,1635620052,-24.8333,16.9833,69.24,17,0,12.1
100,pevek,RU,1635620053,69.7008,170.3133,-1.41,96,100,10.07
101,barrow,US,1635619802,71.2906,-156.7887,15.82,79,90,4.61
102,kaitangata,NZ,1635620053,-46.2817,169.8464,50.94,80,100,3
103,mahebourg,MU,1635620053,-20.4081,57.7,71.26,76,36,6.73
104,alofi,NU,1635619254,-19.0595,-169.9187,76.73,72,100,15.12
105,pisco,PE,1635620054,-13.7,-76.2167,67.01,83,14,8.66
106,kitimat,CA,1635619772,54.0524,-128.6534,37.9,29,100,5.01
107,agadez,NE,1635620054,19.75,10.25,82.31,20,94,10.78
110,sarny,UA,1635620054,51.338,26.6019,49.12,62,77,12.8
111,beloha,MG,1635620055,-25.1667,45.05,68,76,6,13.78
112,kutum,SD,1635620055,14.2,24.6667,78.48,15,2,5.19
114,cabo san lucas,MX,1635619878,22.8909,-109.9124,88.61,65,11,6.96
115,bredasdorp,ZA,1635620055,-34.5322,20.0403,60.28,92,100,5.23
116,jumla,NP,1635620056,29.2747,82.1838,43.47,78,2,3.96
117,georgetown,MY,1635619964,5.4112,100.3354,77.9,93,20,3
118,yellowknife,CA,1635619961,62.456,-114.3525,30.42,88,40,5.99
120,farmington,US,1635619922,36.7281,-108.2187,70.11,35,0,3
121,batemans bay,AU,1635620056,-35.7167,150.1833,50.09,82,6,4.34
122,nikolskoye,RU,1635620057,59.7035,30.7861,45.88,93,91,7.29
123,netarhat,IN,1635620057,23.4833,84.2667,55.78,78,46,2.04
125,bengkulu,ID,1635620057,-3.8004,102.2655,75.79,92,100,4.5
